,Real Name,Birthplace,Date of Birth,wrestler_name,Weight and Height,Debut,Date of Death,Weight,Height
20903,unknown,"Charlestown, Indiana (United States of America)",30th March 1991 (age 30),Reed Bentley,,22nd May 2010 (11 years ago),,,
20904,Donny Walker,"Cleveland, Ohio (United States of America)",4th January 1980 (age 42),Donny Walker,135 lbs. (61 kg) at 5'9'' (1.75 m),20th September 2004 (17 years ago),,,
20906,unknown,,,Charles Metro,,,,,
20907,unknown,Australia,,Josh Newland,214 lbs. (97 kg) at 6'1'' (1.85 m),2010,,,
20908,unknown,"Salamanca, Guanajuato (Mexico)",18th February 1985 (age 37),Rey Latino,,,,,5'9'' (1.75 m)
20909,Tony Elliott,"Gary, Indiana (United States of America)",1980,Teo,86 lbs. (39 kg) at 3'6'' (1.07 m),1998,,,
20911,unknown,"Chicago, Illinois (United States of America)",,December ,120 lbs. (54 kg) at 5'2'' (1.57 m),2006,,,
20912,unknown,,,Reaper,,,,,
20913,unknown,"Fort Oglethorpe, Georgia (United States of America)",24th July 1985 (age 36),Tiffany Roxx ,120 lbs. (54 kg) at 5'3'' (1.60 m),2004,,,
20914,unknown,"Soddy-Daisy, Tennessee (United States of America)",1st December 1985 (age 36),Rock N Roll Rock C ,150 lbs. (68 kg) at 5'11'' (1.80 m),21st February 2004 (18 years ago),,,
20915,unknown,"Gate City, Virginia (United States of America)",23rd December 1979 (age 42),Misty James ,145 lbs. (66 kg) at 5'9'' (1.75 m),2007,,,
20922,John Arritt Jr.,"Wheeling, West Virginia (United States of America)",3rd November 1991,Colt 45,,,20th November 2020,,
20926,unknown,,,Marc Hannibal,,,,,
20928,unknown,"Ibaraki, Ibaraki (Japan)",,SEIKEN,172 lbs. (78 kg) at 5'10'' (1.78 m),,,,
20929,unknown,,,AI ,,,,,
20930,unknown,,,Nyudo,,,,,
20932,unknown,"Kameoka, Kyoto (Japan)",4th November 1989 (age 32),Eisa-8,177 lbs. (80 kg) at 5'8'' (1.73 m),4th July 2009 (12 years ago),,,
20933,Lance Russell,"Memphis, Tennessee (United States of America)",16th March 1926,Lance Russell,,,3rd October 2017,,
20934,Albert Frederick Hans Oeming,"Edmonton, Alberta (Canada)",9th April 1925,Al Oeming,,,17th March 2014,,
20935,unknown,"Hirakata, Osaka (Japan)",9th September 1971 (age 50),Gurukun Mask,170 lbs. (77 kg) at 5'8'' (1.73 m),15th January 2001 (21 years ago),,,
20936,unknown,United Kingdom,,Logan Summers,255 lbs. (116 kg) at 5'10'' (1.78 m),26th September 2009 (12 years ago),,,
20937,unknown,United Kingdom,,Jedrek Grabowski,300 lbs. (136 kg) at 6'9'' (2.06 m),24th April 2010 (11 years ago),,,
20938,unknown,United Kingdom,,Shaun Sikes,210 lbs. (95 kg) at 6'3'' (1.91 m),26th September 2009 (12 years ago),,,
20940,Dave Lewis,"Bovina, Mississippi (United States of America)",12th June 1890,Sailor Jack Lewis,,,26th February 1935,,
20941,unknown,Ireland,,Chris O'Reilly,190 lbs. (86 kg) at 6'0'' (1.83 m),,,,
20942,unknown,United Kingdom,,Turbo,185 lbs. (84 kg) at 5'9'' (1.75 m),,,,
20943,unknown,United Kingdom,,Kidd Pride,168 lbs. (76 kg) at 5'5'' (1.65 m),,,,
20944,unknown,United Kingdom,,DS North,300 lbs. (136 kg) at 6'1'' (1.85 m),,,,
20945,unknown,United Kingdom,,The Business,140 lbs. (64 kg) at 5'3'' (1.60 m),,,,
20947,unknown,United Kingdom,,Trash,188 lbs. (85 kg) at 5'9'' (1.75 m),,,,
20948,unknown,Ireland,,Ryan O'Reilly,160 lbs. (73 kg) at 5'8'' (1.73 m),,,,
20949,unknown,United Kingdom,,Jason Artem,154 lbs. (70 kg) at 5'9'' (1.75 m),,,,
20950,unknown,United Kingdom,,Liam Collins,197 lbs. (89 kg) at 5'11'' (1.80 m),,,,
20951,unknown,United Kingdom,,Chameleon,119 lbs. (54 kg) at 5'3'' (1.60 m),,,,
20952,unknown,United Kingdom,,Charlie Silk,126 lbs. (57 kg) at 5'6'' (1.68 m),,,,
20953,unknown,United Kingdom,,Flash Rodgers,215 lbs. (98 kg) at 6'4'' (1.93 m),,,,
20954,unknown,"Southampton, Hampshire, England (United Kingdom)",,Kelly Sixx,175 lbs. (79 kg) at 5'10'' (1.78 m),,,,
20955,unknown,United Kingdom,,Chris Marsh,168 lbs. (76 kg) at 5'11'' (1.80 m),,,,
20956,unknown,United Kingdom,,Jake Valentine,,,,,
20957,Randy Guthrie,"Orlando, Florida (United States of America)",,Randy Starr,,,,,
20958,Dwayne Peale,"Memphis, Tennessee (United States of America)",,Buddy Wayne,,,31st December 2015,210 lbs. (95 kg),
20959,Javier Morales,La Nueva Guatemala de la Asunción (Guatemala),,Xavi Antony,,,,,
20960,Tad Dezarn,"Point Pleasant, West Virginia (United States of America)",18th July 1986 (age 35),Matt Atreya,187 lbs. (85 kg) at 5'10'' (1.78 m),,,,
20961,unknown,Guatemala,,El Chacal,,,,,
20962,Rolando Villalta,La Nueva Guatemala de la Asunción (Guatemala),,El Padrino,,,,,
20963,unknown,United Kingdom,,Teddy Roberts,238 lbs. (108 kg) at 6'9'' (2.06 m),2009,,,
20964,unknown,,,René Florent,,,,,
20965,unknown,,,Frank Schofro,,,,,
20966,Daniel A. Sullivan,"O'Neill, Nebraska (United States of America)",1882,Dan Sullivan,,,12th May 1964,,
20967,Joseph Bauer,,,Joe Bauer,,,23rd April 1941,,
20968,John Linwood Fox,"Indianapolis, Indiana (United States of America)",2nd April 1907,Tiger Jack Fox,,,6th April 1954,,5'11'' (1.80 m)
20969,Willard Dix,"Hutchinson, Kansas (United States of America)",12th May 1907,Willard Dix,,,1st September 1986,,
20972,Michael Bryant,,,Terry Bull,,13th March 1987 (35 years ago),,,
20973,Christopher Underhill,,,Cyrus Omega,,,,,
20975,unknown,,,Dorve Roach,,,,,
20977,unknown,,,Gran Apollo,,,,,
20978,unknown,,,Gerald Finley,,,,,
20979,Javier Linares Castruita,"Ciudad de México, Ciudad de México (Mexico)",1st December 1955 (age 66),El Tigre de Guanajuato,,1975,,,
20980,unknown,"Acapulco de Juárez, Guerrero (Mexico)",22nd September 1990 (age 31),Mega Boy,,,,,
20982,unknown,Chihuahua (Mexico),,Ángel Oscuro,,,,,
20983,unknown,Tamaulipas (Mexico),,Alas de Fuego,,,,,
20984,unknown,Tamaulipas (Mexico),,Halcón de Oro,202 lbs. (92 kg) at 5'9'' (1.75 m),,,,
20985,unknown,Tamaulipas (Mexico),,Turok,,,,,
20986,unknown,Tamaulipas (Mexico),,El Médico Jr.,,,,,
20987,unknown,Tlaxcala (Mexico),,El Perverso,,,,,
20988,unknown,Tlaxcala (Mexico),,El Perverso Jr.,,,,,
20989,unknown,,,Fred Ledebuhr,,,,,
20990,unknown,Puebla (Mexico),,Mini Tarahumara,,,,,
20991,unknown,Puebla (Mexico),,Yunken,,,,,
20992,unknown,Puebla (Mexico),,Gato Gris,,,,,
20993,unknown,Puebla (Mexico),,Mini Clon,,,,,
20994,unknown,Puebla (Mexico),,Black Danger,,,,,
20995,unknown,Mexico,,Bestia Magnifica Jr.,,,,,
20996,unknown,"Fujimino, Saitama (Japan)",6th April 1970 (age 51),Sachiko Koganei ,132 lbs. (60 kg) at 5'3'' (1.60 m),23rd November 1987 (34 years ago),,,
20997,unknown,Australia,,Josh Taylor,400 lbs. (181 kg) at 6'10'' (2.08 m),,,,
20998,Tinia Su'a,,,Alo Pago Pago,,,,,
20999,unknown,,1897,John Efko,,1916,XXXX,,
21000,Ivan James Jurkovic,Bihac (Bosnia and Herzegovina),1st November 1904,John Yurkovich,,,??th May 1965,,
21001,unknown,,,Ivan Petroff,,,,,
21002,unknown,,,Gil Cannatella,,,,,
21003,unknown,,,Steve Brody,,,,,
21004,unknown,,,Marcus Gibbs,,,,,
21005,Tsuneo Yoshie,,2nd August 1972 (age 49),Tsuneo Yoshie,,,,,
21006,Frederick Lawrence Bartl,,18th September 1885,Fred Bartl,,,27th January 1931,150 lbs. (68 kg),
21007,unknown,,,H. P. Hansen,,,,,
21008,unknown,,,Charlie Kaiser,,,,,
21009,unknown,,,Georges Carpentier,,,,,
21011,unknown,,4th May 1975 (age 46),Josiah Caine,,1996,,,
21013,unknown,,,Sherman Tank,375 lbs. (170 kg) at 5'11'' (1.80 m),,,,
21014,unknown,,,Brandon Day,225 lbs. (102 kg) at 6'1'' (1.85 m),,,,
21015,unknown,,,Joe Brooks,195 lbs. (88 kg) at 5'10'' (1.78 m),,,,
21017,unknown,,,Bruno Gorassini,,,,,
21020,unknown,,,Toshiya Kurenai,,,,,
21021,unknown,,,Jaguar Rogovski,,,,,
21023,unknown,"Evanston, Wyoming (United States of America)",,Lyman Brown,,,,146 lbs. (66 kg),
21024,unknown,West Virginia (United States of America),,Sarah Lynn,150 lbs. (68 kg) at 5'9'' (1.75 m),??th October 2006,,,
21025,Nick Dumeyer,,,Nick Dumeyer,,,,,
21026,Takaaki Inoue,"Chichibu, Saitama (Japan)",18th October 1972,Rikimaru,255 lbs. (116 kg) at 6'1'' (1.85 m),26th February 2011 (11 years ago),13th July 2011,,
21027,Hideo Makimura,,,Hideo Makimura,,??th April 1991,29th June 2011,,
21028,unknown,Mexico,,Evil,,,,,
21029,unknown,Mexico,,El Vagabundo Jr.,150 lbs. (68 kg) at 5'5'' (1.65 m),,,,
21032,unknown,"Gibson, Tennessee (United States of America)",,Jennifer Justice,130 lbs. (59 kg) at 5'4'' (1.63 m),,,,
21034,unknown,Morelos (Mexico),,Rudy González,,,,,
21035,unknown,Nuevo León (Mexico),,Baby Latin,,,,,
21036,unknown,Nuevo León (Mexico),,Mr. Acción,,,,,
21038,Raúl Alejandro Guajardo Espinosa,"Santiago de Querétaro, Querétaro Arteaga (Mexico)",25th September 1982 (age 39),Alex Guajardo,,,,,
21039,unknown,Florida (United States of America),1988,Luke James,,,,,
21042,Harold M. Vest,"Chillicothe, Ohio (United States of America)",6th December 1928,Hank Vest,,,4th August 1998,,
21043,Douglas Frey,"Amarillo, Texas (United States of America)",8th August 1982 (age 39),Doug Frey,145 lbs. (66 kg) at 5'11'' (1.80 m),24th October 2008 (13 years ago),,,
21045,unknown,"Iron Gate, Virginia (United States of America)",20th September 1981 (age 40),Eva Destruction ,190 lbs. (86 kg) at 5'8'' (1.73 m),,,,
21046,unknown,,,Krystal Sinn ,,21st January 2005 (17 years ago),,,
21047,unknown,"New York City, New York (United States of America)",9th July ???,Liz Savage ,115 lbs. (52 kg) at 5'2'' (1.57 m),,,,
21050,Abdel Kader Ben Taumi Lajbali Ladjimi,Tunis (Tunisia),11th December 1899,Pete Ladjimi ,215 lbs. (98 kg) at 5'5'' (1.65 m),,26th February 1968,,
21051,Russell J. Vis,"Grand Rapids, Michigan (United States of America)",22nd June 1900,Russell Vis,,,1st May 1990,,
21052,unknown,,,Wolfette,,,,,
21054,Homer Wright,,,Bearcat Wright,,,,,
21055,Victor Edward Muhl,"Waco, Texas (United States of America)",12th August 1901,Vic Muhl,210 lbs. (95 kg) at 6'0'' (1.83 m),,22nd May 1989,,
21056,Charles William Retzlaff,"Leonard, North Dakota (United States of America)",28th October 1904,Charley Retzlaff,210 lbs. (95 kg) at 6'4'' (1.93 m),,4th June 1970,,
21057,Hideyuki Nagasawa,"Osaka, Osaka (Japan)",2nd January 1924,Hideyuki Nagasawa,220 lbs. (100 kg) at 5'9'' (1.75 m),8th December 1953 (68 years ago),10th January 1999,,
21058,unknown,,,Frank French,,,,,
21059,Michael S. Antonopoulos,,11th February 1915,Mike Anton,,,3rd February 1968,,
21060,unknown,"Boden, Norrbottens (Sweden)",1905,Einar Lindberg,,,29th January 1935,,
21071,David J. Lagana,,,Dave Lagana,,,,,
21072,unknown,Hidalgo (Mexico),,Medic #1,,,,,
21073,Alison Flores,"Chihuahua, Chihuahua (Mexico)",5th January 1987 (age 35),Alicia ,110 lbs. (50 kg) at 4'11'' (1.50 m),2011,,,
21075,unknown,,,Joe Rogacki,,,,,
21076,unknown,,,Kendra ,,,,,
21077,unknown,United States of America,,Corvus,201 lbs. (91 kg) at 5'10'' (1.78 m),2008,,,
21078,unknown,,,Andy Rockne,,,,,
21079,Peter Paul Holtz,Hungary,11th July 1897,Pete Holtz,165 lbs. (75 kg) at 5'6'' (1.68 m),,XXXX,,
21080,unknown,United States of America,,The Mangler,,,,,
21082,unknown,Michigan (United States of America),22nd July 1988 (age 33),Mike Musso,233 lbs. (106 kg) at 6'1'' (1.85 m),13th December 2009 (12 years ago),,,
21083,Rex Layne,"Lewiston, Utah (United States of America)",7th June 1928,Rex Layne,,,7th June 2000,,6'1'' (1.85 m)
21084,unknown,,,Richard Moody,,,,,
21085,unknown,Estado de México (Mexico),24th March 1989 (age 32),La Hija del Espectrito ,123 lbs. (56 kg) at 4'10'' (1.47 m),2nd July 2010 (11 years ago),,,
21086,unknown,Mexico,,Princesa Zareth,,,,,
21087,Bray Willey,Ontario (Canada),,Bray Willey,,,20th July 1967,,
21088,Henry Wilczek,,1896,Henry Stramm,,,??th April 1937,,
21089,Edmund Berini,,1908,Bull Berini,,,XXXX,,
21091,unknown,Nuevo León (Mexico),,Sky Kid,,,,,
21092,unknown,Nuevo León (Mexico),,Muerte Guerrera,,,,,
21093,unknown,Nuevo León (Mexico),,Incógnito,,,,,
21094,unknown,Nuevo León (Mexico),,Rey Ciclón,,,,,
21095,unknown,Nuevo León (Mexico),,David Luna,,,,,
21097,unknown,,,Swede Oberg,,,,,
21099,Doris Williams Whitlock,"Stockbridge, Georgia (United States of America)",2nd September 1961 (age 60),Sabrina ,128 lbs. (58 kg) at 5'8'' (1.73 m),1981,,,
21100,Anton Zaremba,"Wien, Wien (Austria)",5th January 1866,Anton Zaremba,295 lbs. (134 kg) at 6'0'' (1.83 m),,6th April 1937,,
21101,unknown,Puebla (Mexico),,Blue Tigre,,,,,
21102,unknown,Guatemala,,Big Ban,,,,,
21103,El Sayed Mohammed Nosseir,Tanta (Egypt),31st August 1905,Sayed Nosseir,,??th December 1937,11th October 1977,,
21104,unknown,Guerrero (Mexico),,Sendero,,,,,
21105,unknown,Guerrero (Mexico),,Wild Cat,,,,,
21106,unknown,Guerrero (Mexico),,Thunder Bright,,,,,
21107,unknown,Guerrero (Mexico),,Phiros,,,,,
21108,unknown,Nuevo León (Mexico),,Menudo Boy,,,,,
21109,unknown,Nuevo León (Mexico),,Enigma,,,,,
21111,unknown,"West Valley City, Utah (United States of America)",22nd February 1991 (age 31),Brad Landen,235 lbs. (107 kg) at 6'0'' (1.83 m),23rd August 2008 (13 years ago),,,
21112,unknown,Mexico,24th November 1995 (age 26),Extreme Boy,,7th June 2009 (12 years ago),,,
21113,unknown,"Barcelona, Cataluña (Spain)",,Angelnaut,220 lbs. (100 kg) at 6'3'' (1.91 m),9th January 2011 (11 years ago),,,
21114,unknown,"Ciudad de México, Ciudad de México (Mexico)",20th October ???,Crazy Tiger,,10th April 2010 (11 years ago),,,5'9'' (1.75 m)
21115,unknown,"Barcelona, Cataluña (Spain)",,Judas Archeron,187 lbs. (85 kg) at 5'10'' (1.78 m),,,,
21117,unknown,"Barcelona, Cataluña (Spain)",29th October 1991 (age 30),La Pulga,148 lbs. (67 kg) at 5'11'' (1.80 m),,,,
21118,Felipe Alvarado,Chile,,Pipe Rocket,,,,,
21119,unknown,,,Shotgun Willie,,,,,
21120,Julie Kedzie,"Bloomington, Indiana (United States of America)",18th March 1981 (age 40),Julie Kedzie ,135 lbs. (61 kg) at 5'5'' (1.65 m),27th March 2004 (17 years ago),,,
21121,unknown,United States of America,,Cedric King,,,,205 lbs. (93 kg),
21122,unknown,"Madrid, Comunidad de Madrid (Spain)",,Juan Casanova,207 lbs. (94 kg) at 5'8'' (1.73 m),23rd March 2008 (13 years ago),,,
21123,John Jay Gelfond,"Philadelphia, Pennsylvania (United States of America)",22nd December 1914,Torchy Smith,175 lbs. (79 kg) at 5'5'' (1.65 m),,29th March 1976,,
21125,unknown,,,Billy Hunter,,,,,
21126,Roland Wallace,"San Bernardino, California (United States of America)",,Kingston Kelly,250 lbs. (113 kg) at 6'4'' (1.93 m),,,,
21127,unknown,,,Jimmy Black,,,,,
21130,Javier Barnés,"Barcelona, Cataluña (Spain)",26th January 1987 (age 35),Kazkanueces,187 lbs. (85 kg) at 5'10'' (1.78 m),,,,
21131,unknown,"Barcelona, Cataluña (Spain)",,Bad Boy,172 lbs. (78 kg) at 5'10'' (1.78 m),,,,
21132,unknown,"Barcelona, Cataluña (Spain)",,Mandril Morbid,165 lbs. (75 kg) at 5'11'' (1.80 m),,,,
21133,unknown,"Portimão, Região do Algarve (Portugal)",,Mad Dog,209 lbs. (95 kg) at 5'9'' (1.75 m),11th March 1993 (29 years ago),,,
21134,unknown,,,Arte Gore,276 lbs. (125 kg) at 6'5'' (1.96 m),26th June 1993 (28 years ago),,,
21135,Jorge Catalina Sánchez,"Barcelona, Cataluña (Spain)",9th March 1978 (age 44),Ronin Rider,187 lbs. (85 kg) at 5'10'' (1.78 m),,,,
21136,Christopher Hoylman Abbott,"Charleston, West Virginia (United States of America)",26th March 1905,Silent Abbott,,,3rd May 1942,,
21137,Joseph V. Baneck,,,Joe Benek,,,,,
21138,Kazuo Honma,Hokkaido (Japan),26th April 1944 (age 77),Kazuo Honma,176 lbs. (80 kg) at 5'11'' (1.80 m),3rd June 1962 (59 years ago),,,
21140,Ludwig Reß,"Hollstadt, Bayern (Germany)",18th September 1891,Cyclone Ress,185 lbs. (84 kg) at 5'8'' (1.73 m),,??th December 1974,,
21141,unknown,,,Frank McCarroll,,,,,
21142,James Lucien Lindsay,"Mena, Arkansas (United States of America)",27th January 1897,Red Lindsay,,,5th December 1981,,5'8'' (1.73 m)
21143,William Walter Suttka,"Louisville, Kentucky (United States of America)",21st March 1898,Silent Olsen,,,12th July 1959,,5'9'' (1.75 m)
21144,unknown,,,Professor Takahashi,,,,,
21145,Neils P. Jeppsen,Denmark,3rd October 1885,Nels Jepson,,,6th June 1949,,
21146,unknown,,,Jack Milo,,,,,
21147,Peter Shologan,"Lethbridge, Alberta (Canada)",1st April 1921,Pete Shologan,,,8th January 1988,,
21148,unknown,,,Sailor Jack Woods,,,,,
21149,unknown,"Vancouver, British Columbia (Canada)",,Aaron Davis,,,,,
21150,Hans L. Moschuznigg,Austria,2nd May 1895,Ad Herman,,,??th December 1963,,
21151,Joseph D. Montana,"Sulmona, Abruzzo (Italy)",17th March 1906,Joe Montana,190 lbs. (86 kg) at 6'0'' (1.83 m),,15th January 1990,,
21152,unknown,,,Gus Rapp,,,,,
21154,unknown,Querétaro Arteaga (Mexico),27th July ???,Dark Lady,,2010,,,
21155,unknown,"Guadalajara, Jalisco (Mexico)",17th April 1992 (age 29),Spark,,,,,
21156,unknown,"Guadalajara, Jalisco (Mexico)",21st September ???,Tiger King,,,,,
21157,Alejandro Ramos García,"Guadalajara, Jalisco (Mexico)",3rd January 1991 (age 31),Smaker,192 lbs. (87 kg) at 5'9'' (1.75 m),2006,,,
21159,unknown,Tamaulipas (Mexico),10th August 1984 (age 37),Ángel Boy,149 lbs. (68 kg) at 5'6'' (1.68 m),5th October 2007 (14 years ago),,,
21160,Gustav Oscar Sundstrom,,1874,Oscar Sundstrom,,,22nd May 1927,,
21162,Jack Tolliver,,,Jack Tolliver,,,25th January 1929,,
21163,unknown,,,Jack Eiler,,,,,
21164,Charles Elmo Woods,,,Curly Woods,,,,,
21165,James Barnes,"Oconto, Wisconsin (United States of America)",6th September 1871,James Barnes,,,25th August 1950,,
21166,unknown,,,Aleki,,,,,
21167,unknown,,15th March 1988 (age 34),Sindarin,155 lbs. (70 kg) at 5'6'' (1.68 m),28th September 2008 (13 years ago),,,
21168,unknown,,,Blood Eagle,175 lbs. (79 kg) at 5'7'' (1.70 m),,,,
21169,unknown,,,Dragon Mask,170 lbs. (77 kg) at 5'7'' (1.70 m),,,,
21171,unknown,"Moskwa, Moskwa (Russia)",,Alexis Darevko,240 lbs. (109 kg) at 5'11'' (1.80 m),,,,
21172,Brandon Rickert,California (United States of America),4th December 1982 (age 39),Sasha Darevko,222 lbs. (101 kg) at 6'2'' (1.88 m),,,,
21174,Ruben Muela,"El Paso, Texas (United States of America)",,Ruben Iglesias,,,,,
21175,unknown,"Santiago de Chile, Región Metropolitana de Santiago (Chile)",14th March 1986 (age 36),Límite,159 lbs. (72 kg) at 5'7'' (1.70 m),2001,,,
21176,unknown,"Ciudad de México, Ciudad de México (Mexico)",27th September 1990 (age 31),Rayden,,2005,,,
21177,unknown,Oaxaca (Mexico),,Apocalipsis,,,,,
21178,unknown,,,Shannon LeVey,,,,,
21179,unknown,,,Debbie Sue ,,,,,
21180,unknown,,,Arthur Ackermann,,,9th February 1948,,
21182,unknown,"Springfield, Ohio (United States of America)",6th July 1983 (age 38),Jerry Andrews,,,,,
21183,Jeramy Foltz,"Anderson, Indiana (United States of America)",,Johnny Law,,,,,
21186,unknown,United States of America,,Blazing Benjamin,,,,,
21193,Jarrod Willis,"Milwaukee, Wisconsin (United States of America)",,Jarrod Jaxx,,20th April 2002 (19 years ago),,,
21198,unknown,"Detroit, Michigan (United States of America)",21st September 1984 (age 37),Ded Vaughn,,,,,
21199,unknown,Puebla (Mexico),,Génesis,,,,,
21200,unknown,Puebla (Mexico),,Amazona,,,,,
21201,unknown,Puebla (Mexico),,Zorceles,,,,,
21202,unknown,Puebla (Mexico),,Luna,,,,,
21204,unknown,Puebla (Mexico),,Niky,,,,,
21205,unknown,Puebla (Mexico),,El Hombre Demente,,,,,
21206,unknown,Morelos (Mexico),,La Chica Demente,,,,,
21207,Juozas Vinca,iauliai (Lithuania),27th November 1905,Joe Vinca,,,29th August 1980,,6'1'' (1.85 m)
21208,unknown,"Ciudad de México, Ciudad de México (Mexico)",13th November 1994 (age 27),La Metálica ,115 lbs. (52 kg) at 5'3'' (1.60 m),13th May 2009 (12 years ago),,,
21209,unknown,Estado de México (Mexico),,Cat Metal,,,,,
21210,Erik Malmberg,"Göteborg, Västra Götalands (Sweden)",15th March 1897,Erik Malmberg,,1933,9th May 1964,,
21211,Jorge Casas,Mexico,,Rocky Casas,,2011,,,
21212,unknown,"Ciudad de México, Ciudad de México (Mexico)",11th March ???,Nanyzh Rock ,,2011,,,
21213,unknown,Mexico,,Curandero,260 lbs. (118 kg) at 5'8'' (1.73 m),,,,
21215,unknown,,,Finneus James,,,,,
21216,unknown,"London, Greater London, England (United Kingdom)",28th July 1983 (age 38),Sabastan Eros,,,,,
21217,Ron Wilkins,North Carolina (United States of America),20th February 1955,Ron Rossi,,,17th July 2017,,
21219,unknown,,18th September 1976 (age 45),Rex Rumble,,,,,
21220,unknown,,,Robert Royal,,,,,
21223,unknown,,,Jade ,,,,,
21224,unknown,Mexico,,El Fauno,,,,,
21225,unknown,,29th May 1978 (age 43),Nate James,181 lbs. (82 kg) at 6'0'' (1.83 m),,,,
21229,Justin LeHew,"Osceola, Iowa (United States of America)",13th December 1980 (age 41),Justin Decent,250 lbs. (113 kg) at 6'1'' (1.85 m),??th June 2006,,,
