,Real Name,Weight and Height,Birthplace,Date of Birth,Debut,wrestler_name,Date of Death,Height,Weight
4128,Crystal Louthan,,"Orlando, Florida (United States of America)",,12th August 2007 (14 years ago),Crystal,,5'7'' (1.70 m),
4130,unknown,235 lbs. (107 kg) at 5'11'' (1.80 m),"Orlando, Florida (United States of America)",,,Jason Static,,,
4132,unknown,231 lbs. (105 kg) at 6'3'' (1.91 m),"Frederick, Maryland (United States of America)",,??th May 1999,Scott Fowler,,,
4133,unknown,245 lbs. (111 kg) at 6'0'' (1.83 m),,,??th December 2000,Scott Matthews,,,
4135,unknown,130 lbs. (59 kg) at 5'2'' (1.57 m),"Columbus, Ohio (United States of America)",,1948,Ethel Brown ,,,
4136,Ernest Hason,235 lbs. (107 kg) at 5'10'' (1.78 m),"Omaha, Nebraska (United States of America)",26th January 1909,,Ernie Dusek,11th April 1994,,
4137,Charles Roland Putnam,,"Newport Beach, California (United States of America)",17th August 1928,,Eric Pedersen,13th October 1990,,
4140,unknown,,,,,AD Star,,,
4142,unknown,,,,,Wally Seddon,,,
4143,Hermanus Johannes Pienaar van Zyl,190 lbs. (86 kg) at 5'10'' (1.78 m),South Africa,21st January 1929 (age 93),,Manie van Zyl,,,
4144,Chris Bradford,180 lbs. (82 kg) at 5'10'' (1.78 m),"Winnipeg, Manitoba (Canada)",1983,15th July 2000 (21 years ago),Sean Vincent,,,
4145,unknown,,,,,Jackal,,,
4146,unknown,,,,,Cabal,,,
4147,unknown,,,,,Kevin X,,,
4148,unknown,,,,,KC Karrington,,,
4149,unknown,,,,,Shorty Biggs,,,
4151,unknown,,,,,Sindy,,,
4152,unknown,,,,,Steven Kennedy,,,
4153,unknown,194 lbs. (88 kg) at 6'1'' (1.85 m),"Ede, Gelderland (Netherlands)",7th May 1970 (age 51),,Louis Van Eden,,,
4154,unknown,,,,,Bryan Monterro,,,
4155,unknown,,,,,Chaz Wesson,,,
4156,unknown,,,29th May 1977 (age 44),,Rebecca Raze ,,,
4157,unknown,,,,,Outtkast,,,
4158,unknown,,,,,Melvin Talent,,,
4159,unknown,225 lbs. (102 kg) at 6'2'' (1.88 m),"St. Louis, Missouri (United States of America)",29th August 1983 (age 38),24th June 2003 (18 years ago),Pierre Abernathy,,,
4160,unknown,,,,,Nick Tyson,,,
4161,unknown,,,,,Kory Twist,,,
4163,unknown,,,,,Cameron Cage,,,
4164,unknown,,,,,Michael Serious,,,
4168,unknown,243 lbs. (110 kg) at 6'2'' (1.88 m),"Kaliningrad, Kaliningrad (Russia)",7th August 1880,,Ernst Siegfried,1945,,
4169,Daniel King,200 lbs. (91 kg) at 6'0'' (1.83 m),"Ipswich, Suffolk, England (United Kingdom)",13th October 1987 (age 34),??th September 2005,Danny Darko,,,
4171,unknown,,"New Albany, Indiana (United States of America)",,,Chris Alexander,,,
4173,unknown,,New Jersey (United States of America),10th February 1985 (age 37),22nd July 2001 (20 years ago),Chris Rockwell,,,
4174,Richard Earl Gibson,,"Pensacola, Florida (United States of America)",19th November 1952,1970,Ricky Gibson,15th September 2006,,
4176,unknown,,,,,Ricky Murdoch,,,
4177,Dan Burnette,,"Chicago, Illinois (United States of America)",,??th May 1980,Sonny Rogers,,,
4178,unknown,,,,,Sonny Trout,,,
4181,unknown,245 lbs. (111 kg) at 5'11'' (1.80 m),,,,Shane Dynasty,,,
4183,Matteo Cintione,250 lbs. (113 kg) at 5'10'' (1.78 m),"Niagara Falls, Ontario (Canada)",??th September 1981,2002,Tony Carbonie,,,
4184,unknown,,,,,Tony DeNucci,,,
4186,unknown,,,,4th January 2004 (18 years ago),Jorel Diez,,,
