,Real Name,Birthplace,Date of Birth,wrestler_name,Weight and Height,Debut,Height,Date of Death,Weight
16460,Brandon Barker,"London, Ontario (Canada)",,Rodney Thomas,222 lbs. (101 kg) at 6'5'' (1.96 m),,,,
16461,Bernard Joseph Cosneck,"St. Louis, Missouri (United States of America)",29th January 1912,Barney Cosneck,180 lbs. (82 kg) at 5'8'' (1.73 m),??th April 1934,,11th July 1990,
16462,Stephen Douglas Wycoff,"St. Louis, Missouri (United States of America)",16th September 1903,Doug Wyckoff,206 lbs. (93 kg) at 6'2'' (1.88 m),,,??th October 1981,
16463,Ioannis Antiohos,,,John Maxos,,,,XXXX,
16464,unknown,,,Pete Dallas,,,,,
16465,Orval Robert Washburn,"Marshall, Illinois (United States of America)",12th October 1899,Jack Washburn,245 lbs. (111 kg) at 6'3'' (1.91 m),,,27th May 1958,
16467,José Contreras,Estado de México (Mexico),,José Contreras,,,,,
16470,Shamar Bailey,"Wilmington, Delaware (United States of America)",22nd September 1982 (age 39),Shamar Bailey,155 lbs. (70 kg) at 5'9'' (1.75 m),20th October 2006 (15 years ago),,,
16471,Lolohea Mahe,Hawaii (United States of America),1983,Lolohea Mahe,265 lbs. (120 kg) at 6'4'' (1.93 m),13th October 2007 (14 years ago),,,
16473,unknown,,,Jack League,,9th December 1932 (89 years ago),,XXXX,
16475,unknown,"Williamsport, Pennsylvania (United States of America)",18th October 1985 (age 36),Morgan Rockafeller ,119 lbs. (54 kg) at 5'4'' (1.63 m),2006,,,
16476,Ken Downs,"Tyrone, Pennsylvania (United States of America)",1975,Kato,231 lbs. (105 kg) at 6'1'' (1.85 m),,,,
16477,Jason Russo,"Charleroi, Pennsylvania (United States of America)",1979,J-Ru,203 lbs. (92 kg) at 5'11'' (1.80 m),1998,,,
16478,unknown,"Pittsburgh, Pennsylvania (United States of America)",29th October 1987 (age 34),Stryder,,,5'9'' (1.75 m),,
16479,unknown,"Pittsburgh, Pennsylvania (United States of America)",1989,Johnny Switchblade,,,5'10'' (1.78 m),,
16480,unknown,"Charleroi, Pennsylvania (United States of America)",1983,Tommy Horror,,,6'0'' (1.83 m),,
16481,José Carlos Gutiérrez,Mexico,17th October 1985 (age 36),Iron Love,,2006,,,
16482,unknown,Mexico,27th June 1995 (age 26),Crazy Cat,159 lbs. (72 kg) at 5'4'' (1.63 m),2009,,,
16483,unknown,Nuevo León (Mexico),24th August 1991 (age 30),Kratos,,,,,
16484,unknown,"Perote, Veracruz de Ignacio de la Llave (Mexico)",,Venganza Negra Jr.,,2009,,,
16485,unknown,"Chalco de Díaz Covarrubias, Estado de México (Mexico)",1971,Viento Infenal,,1986,,,
16486,unknown,"Ciudad de México, Ciudad de México (Mexico)",24th December ???,Rolling Boy,,22nd September 2000 (21 years ago),,,
16487,unknown,Mexico,,Mini Cuchillo,,,,,
16488,Manuel de Jesús Arenas Santos,Mexico,,Panterita,,1981,,,
16489,Derek Callon,,1926,Kid Callon,,,,2008,
16490,unknown,"Ciudad de México, Ciudad de México (Mexico)",,Kahoz Jr.,220 lbs. (100 kg) at 6'0'' (1.83 m),,,,
16491,unknown,Mexico,,Misterioso Jr.,,,,,
16492,Edgar Raúl Mercado Rosas,"Ciudad de México, Ciudad de México (Mexico)",4th July 1983 (age 38),El Colombiano,231 lbs. (105 kg) at 6'3'' (1.91 m),12th August 1996 (25 years ago),,,
16493,unknown,Mexico,,Antifaz Black,,,,,
16494,unknown,Mexico,,Bestia Cibernética,,,,,
16495,unknown,Mexico,,Esquimal,,,,,
16496,unknown,Mexico,,Galardon de Plata,,,,,
16497,unknown,Mexico,,Triturador,,,,,
16498,unknown,Mexico,,Pegasus Kid #2,,,,,
16499,unknown,Mexico,,Evil #1,,,,,
16500,unknown,Mexico,,Evil #2,,,,,
16501,unknown,Mexico,,The Rocket,,,,,
16502,Arnurlfo Catalino,"Oaxaca de Juárez, Oaxaca (Mexico)",15th August 1983 (age 38),Eros,154 lbs. (70 kg) at 5'5'' (1.65 m),15th April 2007 (14 years ago),,,
16503,Burton Fred Lassiter,"Goodlettsville, Tennessee (United States of America)",12th July 1910,Fred Lassiter,192 lbs. (87 kg) at 5'10'' (1.78 m),,,12th July 1999,
16504,unknown,"Kansas City, Missouri (United States of America)",,Sir Bradley Charles,205 lbs. (93 kg) at 6'0'' (1.83 m),2009,,,
16505,unknown,"San José, California (United States of America)",,Domino Rivera,200 lbs. (91 kg) at 5'10'' (1.78 m),,,,
16506,unknown,"Chicago, Illinois (United States of America)",1st May ???,Jon West,210 lbs. (95 kg) at 6'0'' (1.83 m),1st January 2010 (12 years ago),,,
16507,unknown,United States of America,,Sparrow,165 lbs. (75 kg) at 5'9'' (1.75 m),,,,
16508,unknown,,,Eddie Elzea,,,,,
16509,unknown,,,Joe Dillman,,,,XXXX,
16510,unknown,United Kingdom,1889,Jack Forbes,,,,3rd April 1953,
16511,Felix Alberto Alvarez Gracia,"Acapulco de Juárez, Guerrero (Mexico)",1974,Bulldog García,,,,29th June 2018,
16512,unknown,Mexico,,Astro Nave,,,,,
16513,Efrain Carbajal,"Acapulco de Juárez, Guerrero (Mexico)",11th November 1987 (age 34),Agorafobia #3,,,,,
16514,unknown,Mexico,21st November ???,Apóstol Dorado,165 lbs. (75 kg) at 5'10'' (1.78 m),30th March 2008 (13 years ago),,,
16515,unknown,Mexico,,Titán,,,,,
16516,unknown,Mexico,,Path Finder,,,,,
16517,unknown,Mexico,,Súper Ángel,,,,,
16518,Marcela Chaparro,"Ciudad de México, Ciudad de México (Mexico)",27th February 1972 (age 50),Lady Metal,150 lbs. (68 kg) at 5'4'' (1.63 m),20th August 1989 (32 years ago),,,
16519,Dhani Makalani Jones,"San Diego, California (United States of America)",22nd February 1978 (age 44),Dhani Jones,240 lbs. (109 kg) at 6'1'' (1.85 m),14th March 2010 (12 years ago),,,
16522,Robert Erwin Konovsky,"Chicago, Illinois (United States of America)",19th August 1934,Bob Konovsky,246 lbs. (112 kg) at 6'2'' (1.88 m),1957,,7th March 1982,
16523,unknown,Greece,,John Ellis,,,,,
16524,unknown,,,Jack Osbourne,,,,,
16525,Naoito Shimitsu,"Takatsuki, Osaka (Japan)",6th May 1966,Naoito Shimitsu,210 lbs. (95 kg) at 5'9'' (1.75 m),9th August 1992 (29 years ago),,8th January 1993,
16526,Karolis Antonovich Pozela,Steigviliai (Lithuania),13th February 1883,Karl Pojello,205 lbs. (93 kg) at 5'8'' (1.73 m),,,3rd August 1954,
16528,Jesse Mercer Gehman,,,Jim Mercer,,,,,
16530,unknown,"Nashville, Tennessee (United States of America)",29th December 1980 (age 41),Josh Schockman,205 lbs. (93 kg) at 6'4'' (1.93 m),,,,
16531,unknown,"Cypress, California (United States of America)",16th July 1985 (age 36),Todd Chandler,,,5'9'' (1.75 m),,
16535,unknown,Sweden,15th March 1942 (age 80),Jan Hermansson,,,,,
16538,unknown,"San Diego, California (United States of America)",28th October 1904,Gordon McKenzie,,,,XXXX,
16540,unknown,"Miami, Florida (United States of America)",27th February ???,Evan Newcastle,215 lbs. (98 kg) at 5'11'' (1.80 m),28th November 2009 (12 years ago),,,
16541,unknown,Georgia (United States of America),1982,Frankie Valentine,187 lbs. (85 kg) at 5'8'' (1.73 m),,,,
16542,unknown,"Fort Bragg, North Carolina (United States of America)",,Sgt. Hammer,265 lbs. (120 kg) at 6'0'' (1.83 m),,,,
16543,Agustin Franco,"Ciudad de México, Ciudad de México (Mexico)",7th May 1975 (age 46),Antonio Garza,170 lbs. (77 kg) at 5'9'' (1.75 m),,,,
16544,unknown,"Charlotte, North Carolina (United States of America)",,Cameron Valentine,220 lbs. (100 kg) at 5'8'' (1.73 m),,,,
16545,unknown,United States of America,,Dynamo,215 lbs. (98 kg) at 5'11'' (1.80 m),,,,
16546,unknown,"Belle Vernon, Pennsylvania (United States of America)",,Dee Drake,247 lbs. (112 kg) at 6'0'' (1.83 m),1996,,,
16547,unknown,"Pittsburgh, Pennsylvania (United States of America)",,The Beast,311 lbs. (141 kg) at 6'1'' (1.85 m),1995,,,
16548,Trent Potts,"Eldon, Missouri (United States of America)",1984,Trent Stone,,,6'0'' (1.83 m),,
16549,unknown,"Kansas City, Missouri (United States of America)",5th November ???,Chris Chaos,180 lbs. (82 kg) at 5'11'' (1.80 m),10th July 2009 (12 years ago),,,
16550,Elias Evan Markopoulos,"Boston, Massachusetts (United States of America)",1994,Elia Markopoulos,,2008,,,185 lbs. (84 kg)
16553,James Hammortree,"Chicago, Illinois (United States of America)",29th November 1983 (age 38),James Hammortree,185 lbs. (84 kg) at 6'3'' (1.91 m),19th January 2009 (13 years ago),,,
16558,Joseph Henle,"Lompoc, California (United States of America)",14th August 1983 (age 38),Joe Henle,185 lbs. (84 kg) at 6'1'' (1.85 m),23rd July 2009 (12 years ago),,,
16560,Josh Bryant,"Broken Arrow, Oklahoma (United States of America)",23rd April 1980 (age 41),Josh Bryant,185 lbs. (84 kg) at 5'10'' (1.78 m),7th April 2007 (14 years ago),,,
16561,Charles Blanchard,"Coconut Creek, Florida (United States of America)",,Charles Blanchard,185 lbs. (84 kg) at 5'8'' (1.73 m),8th September 2006 (15 years ago),,,
16562,Clayton McKinney,"Orlando, Florida (United States of America)",10th March 1982 (age 40),Clayton McKinney,185 lbs. (84 kg) at 6'2'' (1.88 m),9th December 2006 (15 years ago),,,
16563,Kenneth Edward Laymon,"Carbon Hill, Alabama (United States of America)",24th June 1964,Kenny Valentine,,,,26th March 2010,
16568,unknown,,,Sarge,97 lbs. (44 kg) at 4'3'' (1.30 m),,,,
16569,unknown,,,Trixie Dynamite ,,,,,
16570,unknown,,,Serena Fox,,,4'3'' (1.30 m),,
16571,unknown,,,Justice,140 lbs. (64 kg) at 4'4'' (1.32 m),,,,
16572,unknown,,,Huggie Cub,135 lbs. (61 kg) at 4'3'' (1.30 m),,,,
16573,unknown,"Spartanburg, South Carolina (United States of America)",,Blixx,85 lbs. (39 kg) at 3'7'' (1.09 m),,,,
16574,unknown,"Kalkaska, Michigan (United States of America)",,Mikey Zeroe,200 lbs. (91 kg) at 5'10'' (1.78 m),2004,,,
16575,unknown,,,Todd Hecht,,,,,
16576,unknown,"Brantford, Ontario (Canada)",1st April ???,KC Tanks,,,,,200 lbs. (91 kg)
16577,unknown,"Monterrey, Nuevo León (Mexico)",6th August 1988 (age 33),Alfa Tres Mil,,,,,
16581,Marc Mercier,"Bourg-la-Reine, Île-de-France (France)",10th April 1958 (age 63),Marc Mercier,225 lbs. (102 kg) at 6'0'' (1.83 m),??th September 1977,,,
16583,unknown,"Pittsburgh, Pennsylvania (United States of America)",1981,Joe Hardway,227 lbs. (103 kg) at 6'1'' (1.85 m),??th December 2002,,,
16587,Christopher McPhillips,"Bathgate, West Lothian, Scotland (United Kingdom)",,Ron Jeremi,154 lbs. (70 kg) at 5'11'' (1.80 m),2002,,,
16589,unknown,"Fauldhouse, West Lothian, Scotland (United Kingdom)",29th August 1981 (age 40),Muzlem,198 lbs. (90 kg) at 5'11'' (1.80 m),2002,,,
16590,unknown,"Stoneyburn, West Lothian, Scotland (United Kingdom)",,Dark Angel,322 lbs. (146 kg) at 6'1'' (1.85 m),2005,,,
16591,unknown,Nuevo León (Mexico),,Titania ,,,,,
16592,unknown,"Juárez, Chihuahua (Mexico)",2nd March 1991 (age 31),Zafiro ,165 lbs. (75 kg) at 5'6'' (1.68 m),10th October 2008 (13 years ago),,,
16593,unknown,Mexico,,Grendel,,,,,
16594,Eduardo Adiel Agaton,Guerrero (Mexico),,Eifi,,2005,,,
16595,unknown,Guerrero (Mexico),,Mr. Smith,,,,,
16596,unknown,United States of America,,Capitán Calico,196 lbs. (89 kg) at 5'11'' (1.80 m),27th September 1999 (22 years ago),,,
16597,unknown,Ciudad de Panamá (Panama),,El Celestial,205 lbs. (93 kg) at 5'6'' (1.68 m),1976,,,
16598,unknown,Jalisco (Mexico),,Rey Lancer,,,5'7'' (1.70 m),,
16599,unknown,,,Rudy Blancarte,,,,,
16601,unknown,,,Mike Mountain,220 lbs. (100 kg) at 5'11'' (1.80 m),??th March 2009,,,
16602,unknown,Jalisco (Mexico),5th May 1983 (age 38),Gran Kenut,,,,,
16603,unknown,Jalisco (Mexico),,Perro Callejero,,,,,
16604,unknown,Jalisco (Mexico),,Metalik #2,,,,,
16605,unknown,"Mezcala de la Asunción, Jalisco (Mexico)",22nd April ???,Águila Negra,,,,,
16606,unknown,Ciudad de Panamá (Panama),4th April 1958 (age 63),Sepulcro,216 lbs. (98 kg) at 5'9'' (1.75 m),,,,
16607,unknown,"Ciudad de México, Ciudad de México (Mexico)",1st May 1980 (age 41),Demente Extreme,187 lbs. (85 kg) at 5'7'' (1.70 m),2003,,,
16608,unknown,Campeche (Mexico),,Ángel Apocaliptico,,2006,,,
16609,unknown,Mexico,26th December 1984 (age 37),Dr. Blood,209 lbs. (95 kg) at 5'5'' (1.65 m),27th April 2008 (13 years ago),,,
16612,unknown,,,Tauro Jr.,,,,,
16613,unknown,Mexico,13th February ???,Serpiente Azteca,159 lbs. (72 kg) at 5'6'' (1.68 m),18th March 2008 (14 years ago),,,
16616,unknown,"Ciudad de México, Ciudad de México (Mexico)",21st October 1975 (age 46),Cruz Diablo Jr.,,6th January 1994 (28 years ago),,,
16618,unknown,"Ciudad de México, Ciudad de México (Mexico)",12th December 1981 (age 40),Blasfemia,,,,,
16619,unknown,Mexico,26th August 1986 (age 35),Águila Extrema,,2006,,,
16620,Martín Villarreal Estrada,Mexico,,El Criminal,,,,,
16621,Stephen Wayne Thomason,"Columbia, Tennessee (United States of America)",26th February 1948,Steve Thomason,,,,1st April 2005,
16622,Joe L. Chunn,"Columbia, Tennessee (United States of America)",22nd January 1951,Handsome Joe Chunn,,,,19th August 2007,
16623,unknown,Mexico,1974,Guerrero Blanco,,2000,,,
16624,Arturo Chávez,Mexico,,Pantera Blanca,174 lbs. (79 kg) at 5'10'' (1.78 m),1954,,,
16625,Jesús Hernández III.,"Juárez, Chihuahua (Mexico)",1992,Quantum,160 lbs. (73 kg) at 5'6'' (1.68 m),2006,,,
16628,unknown,"Ciudad de México, Ciudad de México (Mexico)",6th June 1975 (age 46),El Creyente,172 lbs. (78 kg) at 5'9'' (1.75 m),2008,,,
16629,unknown,Mexico,,Dunkel,,1994,,,
16630,unknown,Mexico,13th December 1990 (age 31),Kore ,119 lbs. (54 kg) at 5'4'' (1.63 m),,,,
16631,unknown,Mexico,5th October 1995 (age 26),Fire Dragón,172 lbs. (78 kg) at 5'9'' (1.75 m),10th January 2009 (13 years ago),,,
16634,Robert D. Ziolkowski,"Milwaukee, Wisconsin (United States of America)",27th August 1975,Baby Haystacks,513 lbs. (233 kg) at 6'4'' (1.93 m),1999,,4th April 2010,
16636,unknown,,,Judge Jesse,,1993,,,
16639,La Costa William Severe,,,Lavisco Severe,,,,13th July 1933,240 lbs. (109 kg)
16640,Ray W. Castle,,1892,Ray Castle,,,,??th February 1934,
16641,unknown,,1941,Mickey Gold,,1961,,1st April 2010,
16643,Steve Carl,Iowa (United States of America),20th December 1984 (age 37),Steve Carl,170 lbs. (77 kg) at 6'0'' (1.83 m),10th February 2006 (16 years ago),,,
16644,Ryan McGivern,"Davenport, Iowa (United States of America)",17th January 1980 (age 42),Ryan McGivern,185 lbs. (84 kg) at 6'1'' (1.85 m),30th October 2004 (17 years ago),,,
16645,Luke Zachrich,"Bryan, Ohio (United States of America)",1st October 1981 (age 40),Luke Zachrich,185 lbs. (84 kg) at 6'2'' (1.88 m),15th April 2006 (15 years ago),,,
16646,unknown,Mexico,,Ave Negra,,1991,,,
16647,unknown,Mexico,,El Halcón del Averno,,1989,,,
16648,unknown,Mexico,3rd October 1990 (age 31),Ludxor,154 lbs. (70 kg) at 5'4'' (1.63 m),12th April 2000 (21 years ago),,,
16649,unknown,"Ciudad de México, Ciudad de México (Mexico)",20th October 1991 (age 30),Arez,152 lbs. (69 kg) at 5'9'' (1.75 m),18th March 2007 (15 years ago),,,
16650,unknown,Mexico,,Miserable,,,,,
16651,unknown,Mexico,1987,Princesa Celeste,,,,,
16652,unknown,Mexico,1990,Xena ,,,,,
16653,unknown,Mexico,,Oso Dorado,,2006,,,
16654,unknown,Jalisco (Mexico),,Pierroth Jr.,,,,,
16655,unknown,Mexico,,Súper Loco,,,,,
16656,José Luis Bocanegra Franco,Mexico,??th June 1943,Rey Neptuno,,,,22nd June 2017,
16657,Joe Montanino,New York (United States of America),1985,Joe Delicious,,,,18th August 2016,
16659,unknown,Tennessee (United States of America),1981,Lani Kia Loha,,,6'0'' (1.83 m),,
16660,unknown,"Hendersonville, Tennessee (United States of America)",1989,Drew Haskins,228 lbs. (103 kg) at 6'1'' (1.85 m),2008,,,
16661,Eric González,"New York City, New York (United States of America)",8th March 1988 (age 34),Eric James,,,6'0'' (1.83 m),,
16662,unknown,New York (United States of America),,Justin Toxic,,,,,
16663,unknown,"West Islip, New York (United States of America)",,Johnny Marinara,,,5'9'' (1.75 m),,
16664,unknown,"New York City, New York (United States of America)",,Minyon,,,,,
16665,George Santiago,New York (United States of America),,Jorge Santi,,,,,
16666,unknown,New York (United States of America),,Nightmare,,,5'9'' (1.75 m),,
16667,unknown,"New York City, New York (United States of America)",,Mr. Tibbs,,16th May 2008 (13 years ago),5'9'' (1.75 m),,
16668,unknown,"Merrick, New York (United States of America)",,K-Fresh,,16th May 2008 (13 years ago),6'0'' (1.83 m),,
16669,unknown,"Setauket-East Setauket, New York (United States of America)",,Mikey Old School,,,5'9'' (1.75 m),,
16672,Michael Joseph Coffey,"Castletownshend, Cork (Ireland)",13th November 1870,Joe Coffey,,,,10th December 1941,
16674,unknown,"Walla Walla, Washington (United States of America)",1975,Josh Powers,,,5'10'' (1.78 m),,
16675,Joel Thomasson,"Elizabeth, Illinois (United States of America)",1987,Bucky Collins,,,5'9'' (1.75 m),,
16677,unknown,"Carlinville, Illinois (United States of America)",1987,Matt Cage,216 lbs. (98 kg) at 5'10'' (1.78 m),2006,,,
16680,unknown,"Atlanta, Georgia (United States of America)",1981,Bill the Butcher,,,6'2'' (1.88 m),,
16681,unknown,"Elkview, West Virginia (United States of America)",1988,Elkview Adam,,,5'9'' (1.75 m),,
16683,Nik Aliss,"Bloomington, Illinois (United States of America)",1986,Nick Brubaker,192 lbs. (87 kg) at 5'8'' (1.73 m),,,,
16684,George Ralph Dye Jr.,"Homewood, Alabama (United States of America)",5th October 1906,George Dye,220 lbs. (100 kg) at 6'0'' (1.83 m),,,14th August 1980,
16685,unknown,"Zwolle, Overijssel (Netherlands)",1985,Titus Aim,,19th May 2007 (14 years ago),6'2'' (1.88 m),,
16686,unknown,"Omaha, Nebraska (United States of America)",,Donnie Peppercricket,,,5'4'' (1.63 m),,
16687,unknown,"Peoria, Illinois (United States of America)",1st September 1982 (age 39),Waylon,,,,,
16688,unknown,"Chicago, Illinois (United States of America)",11th July 1990 (age 31),Ashton Vuitton,,,6'2'' (1.88 m),,
16689,unknown,"Hebron, Indiana (United States of America)",,Christopher Kent,,,6'0'' (1.83 m),,
16690,unknown,Indiana (United States of America),,Stone Hands,,,,,
16693,unknown,"Whitburn, West Lothian, Scotland (United Kingdom)",,GI Joe,179 lbs. (81 kg) at 5'11'' (1.80 m),2006,,,
16694,unknown,"Livingston, West Lothian, Scotland (United Kingdom)",,Kevin Brudaker,215 lbs. (98 kg) at 6'1'' (1.85 m),28th March 2009 (12 years ago),,,
16695,unknown,"Whitburn, West Lothian, Scotland (United Kingdom)",,Ken Adams,161 lbs. (73 kg) at 5'11'' (1.80 m),26th October 2008 (13 years ago),,,
16696,unknown,"Livingston, West Lothian, Scotland (United Kingdom)",15th December 1984 (age 37),Chris Bang,215 lbs. (98 kg) at 5'11'' (1.80 m),27th January 2007 (15 years ago),,,
16697,unknown,"Sweet Grass, Montana (United States of America)",1983,Ruff Crossing,225 lbs. (102 kg) at 6'5'' (1.96 m),27th March 2004 (17 years ago),,,
16698,unknown,"Chicago, Illinois (United States of America)",1981,Scott Spade,200 lbs. (91 kg) at 6'0'' (1.83 m),13th November 2004 (17 years ago),,,
16699,unknown,"Sunset Beach, California (United States of America)",,Rick Paradise,225 lbs. (102 kg) at 6'0'' (1.83 m),??th June 1988,,,
16700,unknown,"Indianapolis, Indiana (United States of America)",,Brandon Bishop,235 lbs. (107 kg) at 6'0'' (1.83 m),19th December 1993 (28 years ago),,,
16701,unknown,"Chicago, Illinois (United States of America)",,Chris Cairo,205 lbs. (93 kg) at 5'7'' (1.70 m),28th February 2004 (18 years ago),,,
16702,unknown,"Streamwood, Illinois (United States of America)",,Donnie Dynamite,219 lbs. (99 kg) at 5'11'' (1.80 m),22nd November 2008 (13 years ago),,,
16704,unknown,"South River, New Jersey (United States of America)",9th December 1984 (age 37),Ed Scanlon,,2007,,,
16705,unknown,United States of America,,Matt Mayhem,,18th November 2006 (15 years ago),5'11'' (1.80 m),,
16707,unknown,United States of America,,Mikey Wild,189 lbs. (86 kg) at 5'8'' (1.73 m),4th August 2007 (14 years ago),,,
16708,unknown,"South River, New Jersey (United States of America)",,Tom Scanlon,,2007,,,
16710,unknown,"Carpentersville, Illinois (United States of America)",,John Carpenter,184 lbs. (83 kg) at 5'10'' (1.78 m),21st November 2009 (12 years ago),,,
16711,unknown,New Jersey (United States of America),4th May 1988 (age 33),Giovanni Marranca,,2006,5'9'' (1.75 m),,
16712,unknown,,,Dehok,240 lbs. (109 kg) at 6'1'' (1.85 m),6th April 2006 (15 years ago),,,
16713,unknown,,,Eric Freedom,215 lbs. (98 kg) at 6'0'' (1.83 m),??th December 1990,,,
16715,unknown,"San Diego, California (United States of America)",,Gage Quinn,185 lbs. (84 kg) at 6'1'' (1.85 m),22nd August 2009 (12 years ago),,,
16716,Brian Gartland,,3rd April 1985 (age 36),Prince Akkanatan,260 lbs. (118 kg) at 6'0'' (1.83 m),2006,,,
16718,Joe Duarte,Dededo (Guam),4th August 1983 (age 38),Joe Duarte,155 lbs. (70 kg) at 5'9'' (1.75 m),9th September 2006 (15 years ago),,,
16719,unknown,New Jersey (United States of America),,JD Smooth,,,6'2'' (1.88 m),,
16720,Jayson Villanueva,New Jersey (United States of America),,JoJo,300 lbs. (136 kg) at 5'11'' (1.80 m),,,,
16721,David James Valentin Jr.,"Philadelphia, Pennsylvania (United States of America)",28th May 1976 (age 45),Chio,218 lbs. (99 kg) at 5'10'' (1.78 m),24th September 1994 (27 years ago),,,
