,Real Name,Birthplace,Date of Birth,wrestler_name,Weight and Height,Debut,Height,Date of Death,Weight
20204,unknown,Cheonan (South Korea),11th June 1954,Lee Wang Pyo,265 lbs. (120 kg) at 6'3'' (1.91 m),,,4th September 2018,
20206,Takeshi Miyamoto,Aichi (Japan),3rd December 1967 (age 54),Takeshi Miyamoto,220 lbs. (100 kg) at 5'11'' (1.80 m),,,,
20207,unknown,,20th April 1885,Mike Tellegen,,,,16th August 1970,
20209,Eigo Ito,"Numazu, Shizuoka (Japan)",24th April 1968 (age 53),Eigo Suruga,190 lbs. (86 kg) at 5'9'' (1.75 m),16th November 1993 (28 years ago),,,
20210,unknown,Japan,,El Trout the Rainbow,,,,,
20211,Clarence E. N. Minnenhall,"St. Joseph, Missouri (United States of America)",17th May 1949,Clarence Minnenhall,,,,12th June 2001,
20212,unknown,"White Oak, Texas (United States of America)",,Don Wayt,,,,3rd July 2021,
20214,Osamu Abe,Hokkaido (Japan),6th May 1925,Osamu Abe,227 lbs. (103 kg) at 5'9'' (1.75 m),,,XXXX,
20215,Tokio Kido,"Kawasaki, Kanagawa (Japan)",4th May 1947,Tokio Kido,181 lbs. (82 kg) at 5'9'' (1.75 m),,,1978,
20216,Saemi Numata,"Tokyo, Tokyo (Japan)",23rd March 1973 (age 48),Numacchi ,142 lbs. (64 kg) at 5'3'' (1.60 m),,,,
20217,unknown,Mexico,22nd November 1994 (age 27),Kaving,,5th September 2010 (11 years ago),,,
20218,unknown,"Torreón, Coahuila de Zaragoza (Mexico)",,Flash Boy,,,,,
20219,unknown,Mexico,,Cazador Salvaje #2,,,,,
20220,unknown,Puebla (Mexico),,Yeigo,,,,,
20221,unknown,Mexico,5th April 1969 (age 52),Tartu el Brujo Jr.,,,,,
20222,unknown,,,Bad News Beach,,,,,
20223,unknown,Puebla (Mexico),,Formula 1 Blanco,,,,,
20224,unknown,Puebla (Mexico),,Formula 1 Rojo,,,,,
20226,Touko Kaseya,"Morioka, Iwate (Japan)",6th January 1954 (age 68),Mariko Akagi ,106 lbs. (48 kg) at 5'0'' (1.52 m),15th March 1970 (52 years ago),,,
20228,unknown,,,Punishment,,,,,
20229,unknown,,,Pain,,,,,
20230,unknown,"Augusta, Georgia (United States of America)",13th October ???,Sixx,,,,,
20231,Joshua Alston,"Lake Elsinore, California (United States of America)",15th November 1981 (age 40),Joshua Dunbar,251 lbs. (114 kg) at 6'2'' (1.88 m),19th October 2008 (13 years ago),,,
20232,unknown,"San Bernardino, California (United States of America)",23rd February 1983 (age 39),DK Murphy,203 lbs. (92 kg) at 5'9'' (1.75 m),23rd February 2006 (16 years ago),,,
20233,unknown,,3rd April 1988 (age 33),JP Emerald,215 lbs. (98 kg) at 6'3'' (1.91 m),,,,
20235,unknown,"New York City, New York (United States of America)",25th March 1987 (age 34),Omar Duncan,,23rd May 2009 (12 years ago),,,
20236,unknown,,,Transformer Boy,,,,,
20237,unknown,"Greenville, South Carolina (United States of America)",8th April ???,Taryn Shay ,,,5'6'' (1.68 m),,
20238,unknown,"Rochester, New York (United States of America)",,Deavud the Destroyer,240 lbs. (109 kg) at 6'2'' (1.88 m),,,,
20239,unknown,"Salt Lake City, Utah (United States of America)",7th June 1976 (age 45),Stevie Slick,165 lbs. (75 kg) at 5'8'' (1.73 m),,,,
20240,unknown,"Ciudad de México, Ciudad de México (Mexico)",21st November 1986 (age 35),Guerrero Azteca,220 lbs. (100 kg) at 6'2'' (1.88 m),,,,
20241,unknown,"Bountiful, Utah (United States of America)",,Blitz,245 lbs. (111 kg) at 6'1'' (1.85 m),10th May 2002 (19 years ago),,,
20242,Jermaine Alston,Tennessee (United States of America),,Se7en,278 lbs. (126 kg) at 6'3'' (1.91 m),2004,,,
20246,unknown,,,Gary Apollo,,??th February 1984,,,
20247,unknown,,,Virgil Venables,,,,,
20252,Shahbulat Shamhalaev,"Machatschkala, Dagestan (Russia)",27th August 1983 (age 38),Shahbulat Shamhalaev,145 lbs. (66 kg) at 5'6'' (1.68 m),24th June 2009 (12 years ago),,,
20253,Jay Clayton Smith,,23rd July 1941,Jay Clayton,,,,25th December 2005,
20254,unknown,"Michigan City, Indiana (United States of America)",1st May 1989 (age 32),Chris Xion,,,6'2'' (1.88 m),,
20256,Dominic L. Papaleo,,,Dom Papaleo,,,,,
20257,unknown,,,Taro Kobayashi,,,,,
20258,Luis Alberto Nogueira,Río de Janeiro (Brazil),10th April 1982 (age 39),Luis Alberto Nogueira,135 lbs. (61 kg) at 5'6'' (1.68 m),5th January 2008 (14 years ago),,,
20259,unknown,,,Ian St. James,,,,,
20261,Mikkel Guldbæk ,Denmark,1973,Mikkel Guldbæk ,185 lbs. (84 kg) at 6'1'' (1.85 m),29th April 2000 (21 years ago),,,
20263,Juan Guillen,San Salvador (El Salvador),,El Blue Inferno,155 lbs. (70 kg) at 5'6'' (1.68 m),2006,,,
