,Real Name,Weight and Height,Birthplace,wrestler_name,Debut,Height,Date of Birth,Date of Death,Weight
28754,unknown,,"Ciudad de México, Ciudad de México (Mexico)",Atenea Queen ,,,3rd September 1985 (age 36),,
28758,unknown,,,Kenny Wyler,,,,,
28761,unknown,,United States of America,Chris Cali,,,,,
28762,Anton V. Lucido,,"Toronto, Ontario (Canada)",Anton Voorhees,,,,,
28763,unknown,185 lbs. (84 kg) at 6'0'' (1.83 m),United States of America,Levi Shapiro,15th August 2009 (12 years ago),,,,
28764,unknown,285 lbs. (129 kg) at 6'2'' (1.88 m),Texas (United States of America),Dalton Frost,2005,,,,
28765,unknown,,,Brittany Wonder ,2012,,,,
28767,unknown,,,Leon Ikusa,,,,,
28768,unknown,,,Shaun Sims,,,,,
28769,unknown,235 lbs. (107 kg) at 6'0'' (1.83 m),California (United States of America),Helfyre,1999,,,,
28770,unknown,,,Jesús Kruze,,,,,
28771,unknown,,,Maynard Skynard,,,,,
28772,unknown,,"St. Paul, Minnesota (United States of America)",Buddy Royal,,,,,
28773,unknown,,"Buffalo, New York (United States of America)",Daniel Joseph,,,,,
28774,unknown,,,Steve Stamp,,,,,
28775,unknown,,,Dominic Simon,,,,,
28776,unknown,180 lbs. (82 kg) at 5'10'' (1.78 m),,Lucha Machine,,,,,
28777,unknown,299 lbs. (136 kg) at 5'10'' (1.78 m),"Rochester, New York (United States of America)",Dick Justice,2008,,,,
28778,Gina Hernández,,"Los Angeles, California (United States of America)",Ruby Raze ,29th April 2012 (9 years ago),5'9'' (1.75 m),12th January ???,,
28779,unknown,,"Los Angeles, California (United States of America)",Eli Everfly,,,,,
28781,Randy Briggs,245 lbs. (111 kg) at 6'0'' (1.83 m),"Virginia Beach, Virginia (United States of America)",BA Briggs,,,,,
28782,unknown,209 lbs. (95 kg) at 6'1'' (1.85 m),"Pittsburgh, Pennsylvania (United States of America)",Stacy Hunter ,20th August 1994 (27 years ago),,1st November 1977 (age 44),,
28783,unknown,,Mexico,Billy Tronic,,,5th October 1995 (age 26),,
28784,unknown,,"San Martín Texmelucan, Puebla (Mexico)",Arkalis,,,17th July ???,,
28785,unknown,,Mexico,Toxin,,,20th August 1997 (age 24),,
28786,Blanca Estela González,,"Ciudad de México, Ciudad de México (Mexico)",La Migala ,,,16th April 1969 (age 52),,
28788,unknown,,"Pittsburgh, Pennsylvania (United States of America)",Frankie Pickard,4th October 2013 (8 years ago),,6th June 1982 (age 39),,
28789,unknown,,Pennsylvania (United States of America),Conor Claxton,13th April 2014 (7 years ago),,4th November ???,,
28794,Olivia Lajwii,143 lbs. (65 kg) at 5'6'' (1.68 m),"Orpington, Greater London, England (United Kingdom)",Livvii Grace ,,,,,
28795,unknown,216 lbs. (98 kg) at 6'0'' (1.83 m),"Clearfield, Pennsylvania (United States of America)",Jonathan McCulley,,,,,
28797,unknown,,United Kingdom,Vulkan Azlan,,,,,
28798,unknown,,United Kingdom,Saime Sahin,,,,,
28801,James K. Trephon,,Greece,Jimmy Trephon,,,24th October 1894,3rd February 1964,
28804,unknown,176 lbs. (80 kg) at 5'11'' (1.80 m),Belgium,Alex LeGrand,,,,,
28805,unknown,190 lbs. (86 kg) at 6'1'' (1.85 m),Belgium,Blake Andersen,12th November 2011 (10 years ago),,,,
28806,unknown,,France,Vince Ventura,2009,6'0'' (1.83 m),,,
28807,unknown,209 lbs. (95 kg) at 5'8'' (1.73 m),"Mons, Hainaut, Wallonne (Belgium)",Toxic K,6th August 2011 (10 years ago),,,,
28808,unknown,,Belgium,Priscilla ,,5'11'' (1.80 m),,,
28809,unknown,181 lbs. (82 kg) at 5'8'' (1.73 m),"Mons, Hainaut, Wallonne (Belgium)",Phoenix,,,,,
28810,unknown,176 lbs. (80 kg) at 5'11'' (1.80 m),Belgium,Michael Gore,,,,,
28811,unknown,146 lbs. (66 kg) at 5'9'' (1.75 m),"Torhout, West-Vlaanderen, Vlaanderen (Belgium)",Kay Williams,7th April 2012 (9 years ago),,,,
28812,unknown,231 lbs. (105 kg) at 6'1'' (1.85 m),Belgium,Jean the Butcher,11th August 2010 (11 years ago),,,,
28813,unknown,,Belgium,Cyclon,,,,,
28816,unknown,,,Big Lenny,,,,,
28817,unknown,156 lbs. (71 kg) at 5'6'' (1.68 m),Pennsylvania (United States of America),DC Bentley,,,,,
28818,unknown,150 lbs. (68 kg) at 5'9'' (1.75 m),"Altoona, Pennsylvania (United States of America)",Dave Daniels,7th September 2002 (19 years ago),,,,
28819,unknown,185 lbs. (84 kg) at 6'0'' (1.83 m),"Clearfield, Pennsylvania (United States of America)",Xander Graves,,,,,
28820,unknown,,Pennsylvania (United States of America),Charlie Mansun,,,,,
28821,unknown,176 lbs. (80 kg) at 6'0'' (1.83 m),"Clearfield, Pennsylvania (United States of America)",Trevor Michaels,,,,,
28822,unknown,,Pennsylvania (United States of America),Mercury Flash,,,,,
28823,unknown,205 lbs. (93 kg) at 6'0'' (1.83 m),"Clearfield, Pennsylvania (United States of America)",Squig,,,,,
28824,unknown,163 lbs. (74 kg) at 6'0'' (1.83 m),"Altoona, Pennsylvania (United States of America)",Doug Diggler,,,,,
28825,unknown,,Florida (United States of America),JT Angel,,,29th September 1980 (age 41),,
28826,unknown,,,Chief Blue Eagle,,,,,
28829,unknown,,Japan,Takeshi Irei,14th August 2011 (10 years ago),,1975,,
28830,unknown,,"Tlalnepantla de Baz, Estado de México (Mexico)",Capitán Muerte,,,14th June 1996 (age 25),,
28832,unknown,,"Nashville, Tennessee (United States of America)",Uncle Byff,??th May 2003,,,,
28833,unknown,,United States of America,Percy Davis,,,,,
28835,unknown,,,Peyton Gates ,2012,,,,
28836,unknown,,"New York City, New York (United States of America)",David Duperon,,,,,
28837,unknown,,Arochukwu (Nigeria),Prince Kanu,??th May 2013,,,,
28838,unknown,,"Houston, Texas (United States of America)",Luther Black,,,,,
28839,unknown,,Mexico,El Conde Bartock,,,15th October 1981 (age 40),,
28840,unknown,,Mexico,Príncipe León,,,,,
28843,unknown,,Puebla (Mexico),Brole Extreme,,,,,
28846,unknown,180 lbs. (82 kg) at 5'9'' (1.75 m),Pennsylvania (United States of America),17,,,,,
28847,unknown,260 lbs. (118 kg) at 5'10'' (1.78 m),,Lucas Calhoun,,,,,
28848,unknown,,,Nokken,,,,,
28849,unknown,,,Paul Alperstein,,,,16th September 2014,
28850,Ami Kanda,137 lbs. (62 kg) at 5'0'' (1.52 m),Oita (Japan),Manami Kanda ,31st December 2013 (8 years ago),,31st July 1994 (age 27),,
28851,unknown,,Puebla (Mexico),Rey Samuray,,,15th October 1995 (age 26),,
28852,unknown,,Mexico,Águila Dorada,1957,,5th December 1935,10th February 2022,
28853,Diego Omar Lemús Pérez,,"Guadalajara, Jalisco (Mexico)",Frezzer,,,13th August 1993 (age 28),,
28854,Blas Corona,187 lbs. (85 kg) at 5'9'' (1.75 m),San Luis Potosí (Mexico),Blas Corona,17th October 1944 (77 years ago),,26th April 1926 (age 95),,
28855,unknown,,Tamaulipas (Mexico),Angeluz,,,,??th September 2014,
28856,Benjamín López,,"Santiago de Querétaro, Querétaro Arteaga (Mexico)",Benji Maverick,,,4th September 1987 (age 34),,
28857,unknown,,Puebla (Mexico),Fuego Negro Jr.,12th October ???,,10th June 1979 (age 42),,
28859,unknown,,Puebla (Mexico),Esplendor,15th October 2012 (9 years ago),,26th May 1995 (age 26),,
28860,unknown,,Puebla (Mexico),Vega Street Fighter,1992,,20th October 1975 (age 46),,
28861,unknown,,Puebla (Mexico),Laykan,24th June 2009 (12 years ago),,15th June 1975 (age 46),,
28862,unknown,,Puebla (Mexico),Dragón Dorado,2010,,12th August 1990 (age 31),,
28864,unknown,,Puebla (Mexico),La Rata #2,,,14th July ???,,
28865,Juan José Salazar Hernández,,Puebla (Mexico),Prayer,,,19th April 1989 (age 32),,
28867,unknown,,,Stoker Smith,,,,,
28868,unknown,,,Eene-Meene-Mista,,,,,
28869,unknown,,,Jack Whelan,,,,,
28870,unknown,,Japan,Gameras,??th June 2013,,,,
28872,unknown,,Mexico,Alma Latina ,,,,,
28873,unknown,,Mexico,Belem Belem ,,,,,
28876,unknown,192 lbs. (87 kg) at 5'5'' (1.65 m),Tamaulipas (Mexico),Súper Boy,1994,,24th February 1975 (age 47),,
28878,unknown,,Mexico,Reina Oscura ,27th April 2013 (8 years ago),,22nd August 1995 (age 26),,
28879,Joseph Cruz Navarro,,Puerto Rico,JC Navarro,,,7th November ???,,
28880,unknown,,"Monterrey, Nuevo León (Mexico)",Furia Azteca,,,28th September 1993 (age 28),,
28882,unknown,,Mexico,Antonio Silva,,,28th February ???,,
28883,unknown,,Mexico,Sexy Enfermera ,16th September 2011 (10 years ago),,8th May 1996 (age 25),,
28884,Josef Dostal,,,Josef Dostal,,,,XXXX,
28885,Tim Fitzmaurice,,,Tim Fitzmaurice,,,,??th January 2009,
28886,George Jackson,,,Joe Fletcher,,,,,
28888,unknown,194 lbs. (88 kg) at 6'0'' (1.83 m),Australia,Ladybeard,2009,,3rd August ???,,
28890,unknown,,Mexico,Princesa Legna ,19th March 2007 (15 years ago),,27th October 1991 (age 30),,
28891,Leroy Reid Haldeman,178 lbs. (81 kg) at 5'11'' (1.80 m),"Camden, New Jersey (United States of America)",Roy Haldeman,,,24th July 1909,5th May 1976,
28892,Jean Baptiste Paradis,,,Jean Paradis,,,1890,11th June 1952,
28893,Emilio Antonori,,,Jack Thomas,,,,,
28894,Edward Hall Oury,,"Weatherford, Texas (United States of America)",Sailor Clark,,,11th February 1904,28th May 1955,
28895,unknown,,,Steve Netry,,,,,
28896,unknown,,"Paris, Île-de-France (France)",Calypso ,,,30th January 2000 (age 22),,
28898,Clarence Edward Toone,,"Waxahachie, Texas (United States of America)",Jack Toone,,,28th October 1912,10th February 1955,
28899,unknown,,,Buck Moffatt,,,,,
28900,Jesús Ernesto Malacara Castañeda,,Chihuahua (Mexico),Anima #1,,,1979,22nd October 2014,
28903,unknown,176 lbs. (80 kg) at 5'9'' (1.75 m),"Ocotlán, Jalisco (Mexico)",Cometa Roja,,,,,
28904,unknown,,Mexico,Brillo de Luna ,20th October ???,,22nd February 1975 (age 47),,
28906,unknown,230 lbs. (104 kg) at 5'10'' (1.78 m),"Matamoros, Tamaulipas (Mexico)",Pánico,??th May 2014,,,,
28907,unknown,165 lbs. (75 kg) at 5'7'' (1.70 m),"Matamoros, Tamaulipas (Mexico)",Guerrillero Jr.,2007,,,,
28909,unknown,120 lbs. (54 kg) at 5'4'' (1.63 m),"Austin, Texas (United States of America)",Star Kid,,,,,
28910,unknown,157 lbs. (71 kg) at 5'5'' (1.65 m),"Matamoros, Tamaulipas (Mexico)",Asiel,15th September 2012 (9 years ago),,,,
28911,unknown,,Durango (Mexico),Filder,,,9th April 1992 (age 29),,
28912,John Kakahio Cabral,,Hawaii (United States of America),Johnny Cabral,,,16th June 1925,2nd July 2008,
28914,unknown,,,Little Hercules,,,,,
28915,unknown,,,Penelope Paradise ,,,,,
28916,unknown,246 lbs. (112 kg) at 5'7'' (1.70 m),Tamaulipas (Mexico),Crazy Clown,2013,,,,
28917,unknown,218 lbs. (99 kg) at 5'7'' (1.70 m),Tamaulipas (Mexico),Maniac Clown,2013,,,,
28919,unknown,345 lbs. (156 kg) at 5'10'' (1.78 m),Tamaulipas (Mexico),Mega Clown,2012,,,,
28920,unknown,133 lbs. (60 kg) at 5'4'' (1.63 m),Tamaulipas (Mexico),Fly Boy,,,,,
28921,Francis Xavier Wendling,,,Frank Wendling,,,28th April 1905,14th May 1991,
28922,Charles G. Rodríguez,207 lbs. (94 kg) at 5'8'' (1.73 m),"San Marcos, Texas (United States of America)",Babe Rodríguez,1935,,23rd April 1916,4th July 1989,
28923,unknown,187 lbs. (85 kg) at 5'9'' (1.75 m),,Brian Ireland,13th April 1996 (25 years ago),,,,
28926,unknown,,,Bud Cody,,,,,
28929,Joe Sawtus,,,Joe Sawtus,,,1933,,
28930,unknown,,,John Marchand,,,,,
28936,unknown,,"Ciudad de México, Ciudad de México (Mexico)",Mixus,,,,,
